astar_All-2way 8192 2 32 32768 2 64 69678890572 69678890572 6792328181 3207672701 2570967807 636704894 6792328181 10.3 16792329063 2.5 22633347554 3.3 11304267758 4323107977 139108988 239347 213404291 144529062 11304507105 4536512268 283638050 83648 199310538 139172090 0 84243336 68853742 155435 14093489 5356452 800 200 75 1075
astar_All-4way 8192 4 32 32768 4 64 68567566925 68567566925 6792328181 3207672701 2570967807 636704894 6792328181 10.1 16792329063 2.5 22633347554 3.3 11304448123 4337127391 138950267 58982 199384877 138990582 11304507105 4536512268 277940849 22485 194964024 134637532 0 82953812 68487092 36233 4420589 4352530 1200 300 75 1575
astar_All-FA 8192 256 32 32768 256 64 61417825660 61417825660 6792328181 3207672701 2570967807 636704894 6792328181 9.0 16792329063 2.5 22633347554 3.3 11304502787 4354819762 155260644 4318 181692506 104521075 11304507105 4536512268 259781719 3968 179928510 104085385 0 79848713 64156775 86 1763732 435170 3600 1000 75 4675
astar_All-small 4096 1 32 16384 1 64 79303684099 79303684099 6792328181 3207672701 2570967807 636704894 6792328181 11.7 16792329063 2.5 22633347554 3.3 11303198813 4027596117 137117862 1308292 508916151 187012637 11304507105 4536512268 324130499 1109964 230578556 175211060 0 92441707 75979408 198192 278337459 11801313 200 50 75 325
astar_default 8192 1 32 32768 1 64 71752198281 71752198281 6792328181 3207672701 2570967807 636704894 6792328181 10.6 16792329063 2.5 22633347554 3.3 11303848034 4276756770 134971398 659071 259755498 157263033 11304507105 4536512268 292234431 421517 205412869 147645713 0 86399517 69593999 237290 54342365 9616800 400 100 75 575
astar_L1-2way 8192 2 32 32768 1 64 71893576962 71893576962 6792328181 3207672701 2570967807 636704894 6792328181 10.6 16792329063 2.5 22633347554 3.3 11304267758 4323107977 128014809 239347 213404291 155623241 11304507105 4536512268 283638050 83648 199310538 149667462 0 84243336 70045840 155435 14093489 5955259 800 100 75 975
astar_L1-8way 8192 8 32 32768 1 64 72063482373 72063482373 6792328181 3207672701 2570967807 636704894 6792328181 10.6 16792329063 2.5 22633347554 3.3 11304476062 4338980044 119032564 31043 197532224 155777020 11304507105 4536512268 274809584 5788 192466167 152021853 0 82337101 70089477 24991 5065793 3754647 1600 100 75 1775
astar_L1-small-4way 4096 4 32 32768 1 64 70987210560 70987210560 6792328181 3207672701 2570967807 636704894 6792328181 10.5 16792329063 2.5 22633347554 3.3 11303728781 4302603636 162759002 778324 233908632 145797863 11304507105 4536512268 308556865 490903 221374917 141078993 0 86690773 70151627 287285 12533579 4718350 600 100 75 775
astar_L1-small 4096 1 32 32768 1 64 71347308869 71347308869 6792328181 3207672701 2570967807 636704894 6792328181 10.5 16792329063 2.5 22633347554 3.3 11303198813 4027596117 177176963 1308292 508916151 146953536 11304507105 4536512268 324130499 1109964 230578556 139281176 0 92441707 69932457 198192 278337459 7671840 200 100 75 375
bzip2_All-2way 8192 2 32 32768 2 64 68181011656 68181011656 7566121173 2433879991 1881417428 552462563 7566121173 9.0 17566122337 2.3 22200012564 2.9 12096913205 2376700760 65935578 11111 160266315 156199909 12096924316 2536967075 222135487 9100 158933962 154403602 0 63191897 56923261 1747 1332089 1795787 800 200 75 1075
bzip2_All-4way 8192 4 32 32768 4 64 67383457140 67383457140 7566121173 2433879991 1881417428 552462563 7566121173 8.9 17566122337 2.3 22200012564 2.9 12096914953 2378622038 68248784 9363 158345037 152374118 12096924316 2536967075 220622902 8989 157884316 150923748 0 62729069 56430775 110 460457 1449850 1200 300 75 1575
bzip2_All-FA 8192 256 32 32768 256 64 62914144280 62914144280 7566121173 2433879991 1881417428 552462563 7566121173 8.3 17566122337 2.3 22200012564 2.9 12096914907 2379495474 90769751 9409 157471601 128887911 12096924316 2536967075 219657662 9045 157210499 128036149 0 62437590 55948648 100 260838 851242 3600 1000 75 4675
bzip2_All-small 4096 1 32 16384 1 64 70911176425 70911176425 7566121173 2433879991 1881417428 552462563 7566121173 9.4 17566122337 2.3 22200012564 2.9 12096123209 2333607763 67699779 801107 203359312 169145435 12096924316 2536967075 236845214 33226 169325301 164140703 0 67486415 59102828 767745 34033875 5004468 200 50 75 325
